artifact_dir,test_id,timestamp,interface_name,interface_type,interface_device,mac_address,link_speed,ssid,bssid,last_tx_rate_mbps,channel,tcp_dl_mbps,tcp_ul_mbps,udp_dl_mbps,udp_dl_jitter_ms,udp_dl_packet_loss_pct,udp_ul_mbps,udp_ul_jitter_ms,udp_ul_packet_loss_pct,ping_wan_mean_ms,ping_wan_std_ms,label
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_105532_20251105_105532,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_105532,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,2.678988274465897,1.2566143737796285,4.996061473144475,2.94978441301447,7.296137339055794,5.0009223758626655,2.522231285841665,0.11668611435239207,56.55756521739131,23.87502573977877,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_105719_20251105_105719,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_105719,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.2411127107479947,1.8841783020444445,4.997147581580268,3.154811140544978,12.524461839530332,5.0008193840103745,3.05187335672641,9.918319719953326,65.86004,38.68959226165783,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_105906_20251105_105906,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_105906,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,0.8100563309502715,0.8379959881402392,4.9919243184449344,4.970019277112628,9.256449165402124,5.0012253764913295,1.9803729118917606,1.5169194865810969,104.62791666666666,50.75778847403975,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_110051_20251105_110051,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_110051,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,2.070146524557838,1.2569691198797104,4.989408446112036,3.1780372534167567,7.510729613733906,5.00083293458097,2.6480574027582677,1.515740380878352,60.542,37.098406433655164,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_110234_20251105_110234,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_110234,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.8612424186962366,2.514028649697637,4.996412587986212,2.8340375108395133,0.205761316872428,4.999528845848237,1.8117619650808436,0.0777907429015947,49.33645833333333,13.97966551499827,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_110419_20251105_110419,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_110419,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,2.265942021155903,1.8858462772497677,4.991353335291347,4.830616583621134,12.132352941176471,5.000921858598001,2.992598713366536,14.185775359502527,64.62882608695652,36.35614717642443,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_110604_20251105_110604,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_110604,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.4440967784584195,2.30592499904539,4.994050397416882,12.340710700620152,50.0,5.000900876241502,2.751387839665078,0.3109211037699184,55.00536363636364,23.699171139907293,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_110823_20251105_110823,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_110823,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.2110757176417324,1.6759725550415585,4.990537514237762,4.39604026240332,0.66006600660066,5.0014045013980075,8.24099350520728,1.515740380878352,68.28004166666666,29.042527214383192,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_111010_20251105_111010,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_111010,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.0311004963477006,1.67596317943214,4.997177634048709,3.5588482310947347,5.444126074498567,5.0007473922249615,1.908457541231863,0.38895371450797356,69.75691304347826,33.50144180603282,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
results/artifacts_ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf_testC_20251105_111155_20251105_111155,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf,20251105_111155,USB 10/100/1000 LAN,ethernet,en5,4c:ea:41:68:4c:07,1000baseT,,,,,1.6509387508329865,1.6759799216654054,4.993500865783916,2.876003827577479,7.157057654075547,5.000917861945092,5.661259883900717,0.11659541391371939,72.4401304347826,46.89691738687421,ST1_Paolo_Clarks2_Silvus-Silvus-Viasat-iPerf
